,Fp1,Fpz,Fp2,F7,F3,Fz,F4,F8,FC5,FC1,FC2,FC6,M1,T7,C3,Cz,C4,T8,M2,CP5,CP1,CP2,CP6,P7,P3,Pz,P4,P8,POz,O1,Oz,O2,Participant,StimType,Period,Feature
154,0.25496822,0.00904652,0.253358051,0.062456708,0.05576731,-0.019115633,0.104517399,0.010057504,0.069790437,-0.031452449,-0.053146013,0.242296824,0.0290857,0.028564215,0.041566988,-0.04223986,0.01378288,0.032188688,0.144566828,0.188541074,0.217404744,0.060837983,0.059671899,0.045083291,0.012271834,0.121906335,0.026252734,0.079292066,0.124375218,0.111569887,0.064028227,0.02530431,13,M30,PercentChange,delta
155,0.002838439,-0.056335552,0.028259549,-0.120625956,0.009024435,-0.038505635,-0.014214682,-0.044259138,-0.015187344,-0.027864649,-0.035212105,-0.053753806,0.00523129,-0.036057466,-0.007114876,0.002131634,0.007410689,0.008829069,-0.017053761,-0.005127749,-0.004811345,0.012826355,-0.00050501,0.019703619,-0.088503056,-0.107737038,0.009080019,-0.043675073,-0.069931518,0.021049628,0.021661444,-0.024077578,14,M30,PercentChange,delta
156,-0.046655362,-0.068092158,-0.031165359,0.009372458,0.021232134,0.067621125,0.031335144,0.010000224,-0.012085999,0.041015256,-0.02122565,0.032298057,0.015949894,0.073855259,-0.002063941,-0.011558732,-0.010542424,-0.012784117,0.002196447,0.012563638,-0.000501411,0.000925255,-0.007432334,-0.009345259,0.005022687,-0.036719676,-0.031139348,0.046958528,-0.018328458,-0.01265369,-0.005837054,0.101127556,16,M30,PercentChange,delta
157,0.002455923,0.024585158,-0.08333242,0.084239072,-0.03516288,0.025934883,-0.007336454,-0.122416329,-0.106658403,0.024580876,-0.055880444,0.056838344,-0.076850692,-0.155017531,-0.045018038,-0.040717288,-0.005853927,0.075346957,-0.068109319,-0.041448396,0.05321595,0.01999566,0.005037404,-0.019595372,-0.025232568,0.036487433,-0.000822165,-0.009636407,-0.021748781,-0.039225738,-0.098100548,-0.060342982,20,M30,PercentChange,delta
158,0.15504442,0.058822487,0.0714125,0.069348509,0.034874614,0.086449048,0.030017043,0.007046556,0.005120724,0.040563249,0.017662721,0.031486296,0.033426419,0.05523429,0.018533722,-0.005769137,-0.011671294,-0.00554252,-0.000846881,6.67E-05,0.062598533,0.050688735,0.038579894,0.044358128,0.069696249,0.046872148,0.037221379,0.053179233,0.079287229,0.003190247,0.01855045,0.021531287,1219,M30,PercentChange,delta
159,0.045940282,0.077421109,0.040897686,0.093564152,-0.028472222,0.013875516,0.047659239,0.054557605,0.043957377,0.088167914,0.093748136,0.047759119,0.038160768,-0.00193546,-0.015239066,0.020445366,0.051625194,-0.009664713,0.035480522,-0.014481336,0.019835147,0.027348879,0.049615733,0.034781386,0.069617522,0.07130046,0.041539209,0.011576185,-0.021045134,0.029050105,-0.025722062,0.043241646,1518,M30,PercentChange,delta
160,-0.019498047,0.007098128,0.007266406,0.019670773,0.036343433,0.004423786,0.012661578,0.049295046,0.044174897,0.042031838,0.000968016,-0.002289084,0.021507262,0.035689302,-0.010819115,-0.008226104,0.019994281,0.067298105,0.000285004,0.039993743,0.062691236,0.020062826,0.037619528,0.047515261,0.05999455,0.037170517,0.004378547,0.031980763,0.049588941,0.028731759,-0.015142202,0.037534674,212526,M30,PercentChange,delta
161,-0.011705684,-0.002992484,0.005757864,0.039228579,-0.012660546,0.00408521,-0.011200203,-0.009060686,0.028085981,0.010689626,0.044044403,0.009031171,0.032997213,0.013399345,0.019855253,-0.020445299,-0.00624179,-0.014504837,0.012785417,0.034720196,0.011121282,0.044678367,0.011866998,0.008368712,0.002110732,-0.001889728,-0.011677552,0.029646392,-0.012610117,-0.037062676,-0.004900539,-0.006372408,222324,M30,PercentChange,delta
162,0.024228113,0.073261309,-0.088422556,0.195566243,-0.039979468,0.053373066,-0.00725629,-0.060436015,-0.090165856,0.060766413,0.085613193,-0.009795142,0.027051022,0.06667363,0.126206984,-0.25623568,-0.236063153,-0.297012543,0.013245023,-0.067379036,0.011728888,-0.018030124,-0.091346342,0.015881613,-0.152864189,0.021679982,0.001744184,-0.001987733,-0.034356822,0.034817998,-0.001409271,0.105488439,11,F30,PercentChange,theta
163,0.00086812,-0.069555063,-0.052725221,0.014599762,-0.026346442,-0.099662723,0.048911465,0.196164907,-0.062896957,0.083457545,-0.039181372,0.23734493,0.036985727,0.021152357,0.044539378,0.019367089,0.006375796,0.067748838,0.128881182,-0.057898411,-0.099607323,-0.1367978,-0.126159996,-0.137463566,-0.004236433,0.058094104,-0.064890211,-0.07023021,-0.063612191,-0.045297891,0.034372519,-0.120081475,13,F30,PercentChange,theta
164,-0.088963246,0.014077914,-0.035896454,0.00022329,0.090828044,-0.018078175,0.001580076,0.029894365,0.026125221,-0.023292904,-0.038799005,0.001931746,-0.032412853,-0.086126356,-0.020667606,0.03046555,0.025892987,0.020665172,0.041317855,0.045156607,-0.007385702,0.098311394,0.095923965,0.080056222,0.110809138,-0.061917816,0.120657252,0.049264236,0.045443463,-0.011649555,0.081874128,0.004264616,14,F30,PercentChange,theta
165,-0.06704971,-0.032476794,-0.034368677,0.034522296,0.034330272,-0.025677207,-0.206262128,-0.163683648,-0.120750774,-0.108479398,-0.0577173,-0.16903267,-0.125590186,-0.042827404,-0.020385528,-0.110805142,-0.075988442,-0.09759895,-0.117904798,0.031486003,-0.091753109,-0.011898242,-0.021830471,-0.052878055,0.049358845,-0.026166846,0.041126785,0.039101122,-0.130461069,-0.094712136,-0.018745039,-0.123571298,16,F30,PercentChange,theta
166,0.096578624,0.033739266,-0.048217737,0.113178916,-0.02469922,0.065343099,0.105800282,0.090410663,0.075127334,0.115151629,0.031435939,0.0616615,0.030325679,0.082796098,0.000781562,0.030635349,0.229490783,0.124404892,0.032049763,0.064665978,0.042556167,0.039156454,0.136440563,0.042651348,0.059826433,0.096559228,-0.000218569,0.02286156,-0.000397593,0.131645941,0.017969473,0.005792747,20,F30,PercentChange,theta
167,-0.114853473,-0.026074667,0.005824661,-0.055052077,-0.063518347,-0.036492747,-0.209895534,-0.10295796,-0.071554739,-0.127741213,-0.033873437,-0.176485732,-0.144927942,-0.148366212,-0.032732395,-0.042876248,-0.046911133,-0.069334048,-0.098713582,-0.059051981,-0.001166737,-0.08133713,-0.086707906,-0.106085612,-0.071263377,-0.124834823,-0.069241546,-0.043455614,-0.130201511,-0.108341953,-0.118481202,-0.059564372,1219,F30,PercentChange,theta
168,-0.013309514,0.102322506,0.023023223,0.083298238,-0.004999843,-0.045463053,0.047854106,0.155486932,0.158621141,0.088433235,0.100721723,0.076398497,0.114058658,0.010339799,0.023046327,0.011445865,0.0114365,0.028166446,0.116518881,-0.027619626,0.024757711,0.026526072,-0.015468646,0.024678811,0.015477466,0.029958466,0.01467228,-0.038603654,-0.017439495,0.018110256,0.017180147,-0.0660814,1518,F30,PercentChange,theta
169,0.032661658,-0.104673096,-0.021365879,-0.066397808,0.017446591,-0.016152737,-0.068139002,-0.012388332,-0.069270418,-0.036541007,-0.054535406,0.02471771,-0.047952267,0.005568209,-0.099068754,-0.047002608,-0.095194237,-0.062130076,-0.009721791,-0.011391549,-0.046000229,-0.102032228,-0.041391529,-0.066316948,-0.022560183,-0.040245607,-0.078339673,-0.039955522,-0.071499019,-0.11411757,-0.042231977,-0.051357732,212526,F30,PercentChange,theta
170,0.044710831,0.044544961,0.088479137,0.015385636,0.07229042,0.076628495,0.021123954,0.094397876,-0.019097149,0.009387729,0.024662317,0.091454467,0.044844942,0.051481531,0.006310054,-0.050218409,-0.113947687,-0.044152599,0.032397374,0.055149373,0.018908793,0.040129574,-0.023764322,0.009889958,0.094909673,-0.012741336,0.05071059,0.010072838,-0.003221364,-0.004153136,0.075554165,0.015520351,222324,F30,PercentChange,theta
171,0.156966772,0.040834657,-0.017377571,0.070606684,0.007066148,0.080935075,-0.005178284,0.023897764,0.006887945,0.234114133,0.038107322,0.056336158,0.107088706,0.279207681,0.064153029,0.040342119,0.083882885,-0.013354683,-0.027051036,-0.01159307,-0.024350212,-0.006783879,-0.013300751,-0.037190965,0.010906615,-0.006310783,0.036911129,0.056577631,-0.062981975,0.000908548,0.096603134,0.013344911,11,M30,PercentChange,theta
